Device ID,X Position,Y Position,Region,Net_device id, connectivityType,latency
1,116.51790996887127,39.73780331426277,Beijing,beijing_man1,cellular,0.015784261420487344
2,117.33523737216852,39.11696957756383,Tianjin,tianjin_man2,cellular,0.020764718013096966
3,114.33130091165432,38.033540292204535,Shijiazhuang,shijiangzhuang_man1,cellular,0.01821517200880801
4,115.5926146320119,37.7212435387391,Hengshui,hengshui_man1,cellular,0.01055556533066552
5,118.03007389428977,39.492587925171584,Tangshan,tangshan_man2,cellular,0.01981289611093154
6,114.41031315728343,36.67069979494289,Handan,handan_man1,cellular,0.025951883183993912
7,119.52951384173413,39.85240652258031,Qinhuangdao,qhd_man1,cellular,0.017508367967411242
8,115.68046167500204,38.92248885021085,Baoding,baoding_man2,cellular,0.010862801634550391
9,114.922142400918,41.09014701148967,Zhangjiakou,zhangjiako_man2,cellular,0.0220726566081498
10,118.05974121006,40.770242996840125,Chengde,chengde_man1,cellular,0.011796722147594103
11,116.60204124053537,39.60850750369893,Langfang,langfang_man1,cellular,0.027299013334747553
12,116.77380128244887,38.49377019987312,Cangzhou,cangzhou_man1,cellular,0.014386059336185595
13,114.66230670216807,37.0964883727101,Xingtai,xingtai_man1,cellular,0.016992915127628436
14,116.29202231428921,40.03626932374198,Beijing,beijing_man2,cellular,0.010091488190993933
15,117.35139379218016,39.00789507923234,Tianjin,tianjin_man2,cellular,0.027226005783109727
16,114.49296751401427,37.974460865356846,Shijiazhuang,shijiangzhuang_man1,cellular,0.023077507270104766
17,115.56431784900444,37.76202878848296,Hengshui,hengshui_man1,cellular,0.022009387469306013
18,118.01140335414797,39.71004432470768,Tangshan,tangshan_man2,cellular,0.011523037570293639
19,114.47962915885762,36.71840677275249,Handan,handan_man1,cellular,0.02522683852672385
20,119.6041314797009,39.99145292401007,Qinhuangdao,qhd_man2,cellular,0.023515274255060684
21,115.48247107910656,39.09620748973952,Baoding,baoding_man2,cellular,0.013796302549492245
22,115.0804891769533,40.59700476565338,Zhangjiakou,zhangjiako_man1,cellular,0.018160290920816356
23,117.84166764995769,41.06419608691167,Chengde,chengde_man1,cellular,0.020367911719252653
24,116.81750071407676,39.46537237146538,Langfang,langfang_man1,cellular,0.023430835822098275
25,116.95470550036094,38.28612566131631,Cangzhou,cangzhou_man1,cellular,0.017500914066613416
26,114.4786469739008,36.97173915833243,Xingtai,xingtai_man1,cellular,0.027173552075244044
27,116.16225557984795,39.998458464709714,Beijing,beijing_man1,cellular,0.018584712737324843
28,117.05538006847607,39.21333739689291,Tianjin,tianjin_man2,cellular,0.01304034360556744
29,114.50031014852934,38.021676928861496,Shijiazhuang,shijiangzhuang_man1,cellular,0.018487794253115288
30,115.72933972779623,37.66316000112458,Hengshui,hengshui_man1,cellular,0.023130052486288487
31,118.4241945502468,39.68712320681854,Tangshan,tangshan_man1,cellular,0.024052203902598372
32,114.38577881475968,36.51629731046607,Handan,handan_man1,cellular,0.020877775281076018
33,119.54661568078305,39.89246043286828,Qinhuangdao,qhd_man1,cellular,0.021432391364420614
34,115.59969127524857,38.985262390694125,Baoding,baoding_man2,cellular,0.01607335542828054
35,115.13681992545874,40.740502973567466,Zhangjiakou,zhangjiako_man1,cellular,0.024550285586004188
36,118.4006186695422,40.992043062126626,Chengde,chengde_man2,cellular,0.026503561377900754
37,116.71959716911223,39.59859559108141,Langfang,langfang_man1,cellular,0.022560356866612168
38,116.61352004553105,38.27806705866066,Cangzhou,cangzhou_man1,cellular,0.013082548414092414
39,114.40442185409951,37.202217255176315,Xingtai,xingtai_man1,cellular,0.020458732671567816
40,116.3096934791841,39.73105996620783,Beijing,beijing_man1,cellular,0.025763125646103044
41,117.21724156756356,39.188888778804895,Tianjin,tianjin_man2,cellular,0.027411186201908556
42,114.60745985381362,38.12669762900328,Shijiazhuang,shijiangzhuang_man1,cellular,0.012120423252088178
43,115.71995661084375,37.87310259835173,Hengshui,hengshui_man2,cellular,0.013910538994034171
44,117.99260549178936,39.640943385940545,Tangshan,tangshan_man2,cellular,0.018195562986931292
45,114.5607674255845,36.44902309573436,Handan,handan_man1,cellular,0.01871173843467404
46,119.56779804909671,39.80724068626197,Qinhuangdao,qhd_man1,cellular,0.01871813260557828
47,115.64673628357906,39.01814900219917,Baoding,baoding_man2,cellular,0.017152126444777045
48,114.73259468360436,40.53303419723679,Zhangjiakou,zhangjiako_man1,cellular,0.02074345209938381
49,118.29308263027637,41.1195354044408,Chengde,chengde_man1,cellular,0.016777243753673274
50,116.69124531250287,39.58598364423252,Langfang,langfang_man1,cellular,0.0284070911943052
51,116.61303004120626,38.24381686527693,Cangzhou,cangzhou_man1,cellular,0.01730341604473699
52,114.47436954878984,37.12358997691854,Xingtai,xingtai_man1,cellular,0.027090586076169015
53,116.5423075733157,39.74473668333696,Beijing,beijing_man1,cellular,0.018314428429018665
54,117.24450314933132,39.113613080773405,Tianjin,tianjin_man2,cellular,0.010797160979972
55,114.4428005053465,37.893169824016745,Shijiazhuang,shijiangzhuang_man1,cellular,0.028480281648612465
